App Name,API Product,API Proxy
PPAY,API-Banking-v1,Billers-v1
PPAY,API-Banking-v1,BillsPaymentTransactions-v1
PPAY,API-Banking-v1,SendSMS-v1
PPAY,API-Banking-v1,SendMoneyEmail-v1
PPAY,API-Banking-v1,Otp-v1
PPAY,API-Banking-v1,Logout-v1
PPAY,API-Banking-v1,FinTech-TokenAppDetails-Private
PPAY,API-Banking-v1,DigiFI-Login-v2
PPAY,API-Banking-v1,GetClientInfo-v2
PPAY,FinTech-Internal-v1,FinTech-AddLink-Internal
PPAY,FinTech-Internal-v1,FinTech-Authorize-Internal
PPAY,FinTech-Internal-v1,FinTech-LinkedAccounts-Internal
PPAY,FinTech-Internal-v1,FinTech-Passthroughs-Internal
PPAY,FinTech-Internal-v1,FinTech-RefreshToken-Internal
PPAY,FinTech-Internal-v1,FinTech-SingleSession-Internal
PPAY,FinTech-Internal-v1,Fintech-TermsAndConditions_PrivatePolicy-Internal
LazadaAlipay,FinTech-DirectLink-v1,FinTech-Authorize
LazadaAlipay,FinTech-DirectLink-v1,FinTech-LinkedAccounts
LazadaAlipay,FinTech-DirectLink-v1,FinTech-Payment
LazadaAlipay,FinTech-DirectLink-v1,FinTech-PaymentInitiate
LazadaAlipay,FinTech-DirectLink-v1,FinTech-PaymentStatus
LazadaAlipay,FinTech-DirectLink-v1,FinTech-ResendOTP
LazadaAlipay,FinTech-DirectLink-v1,FinTech-Token
LazadaAlipay,FinTech-DirectLink-v1,FinTech-Unlinking
LazadaAlipay,FinTech-DirectLink-v1,FinTech-ValidateOTP
Grab-Direct-Debit,FinTech-DirectLink-v1,FinTech-Authorize
Grab-Direct-Debit,FinTech-DirectLink-v1,FinTech-LinkedAccounts
Grab-Direct-Debit,FinTech-DirectLink-v1,FinTech-Payment
Grab-Direct-Debit,FinTech-DirectLink-v1,FinTech-PaymentInitiate
Grab-Direct-Debit,FinTech-DirectLink-v1,FinTech-PaymentStatus
Grab-Direct-Debit,FinTech-DirectLink-v1,FinTech-ResendOTP
Grab-Direct-Debit,FinTech-DirectLink-v1,FinTech-Token
Grab-Direct-Debit,FinTech-DirectLink-v1,FinTech-Unlinking
Grab-Direct-Debit,FinTech-DirectLink-v1,FinTech-ValidateOTP
PHQR-Notification-PROD,Swift-Pass-v1,Swift-Pass-API
PHQR-Notification-PROD,OAuth2-Token-v2,OAuth2-Token-API
PHQR-Keys,Merchant-Presented-QR-v1,Merchant-Presented-QR-v1
PHQR-Keys,OAuth2-Token-v2,OAuth2-Token-API
BDO-Checkout-Prod,OAuth2-Token-v2,OAuth2-Token-API
BDO-Checkout-Prod,Switch-Card-Utility-v1,SCU-Transaction-Inquiry-v1
MS-Dynamics-365,OAuth2-Token-v2,OAuth2-Token-API
MS-Dynamics-365,CCM-v1-PROD,CCM-v1-BAPI
MS-Dynamics-365,Communicator-Gateway-PROD,Communicator-Gateway-API
CJ-CASA,CJ-Backbase-v1-PROD,CJ-Backbase-v1
CJ-CASA,CJ-Backbase-v1-PROD,CBG-CJ_CC-ApiBanking_Login-V1
QMS-PROD,ApiBanking-BillsPayment-v1-PROD,ApiBanking-Billers-v2
QMS-PROD,ApiBanking-CIAM-v1-PROD,ApiBanking-Login-v1
QMS-PROD,BankGenie-v1-PROD,BankGenie-v1
ACS_CCM,CCM-v1-PROD,CCM-v1-BAPI
ACS_CCM,CCM-Utilities-v1-PROD,CCM-v1-BAPI
ACS_CCM,CCM-Utilities-v1-PROD,ApiBanking-Login-v1
Avaloq,ApiBanking-Login-v1,CBG-CJ_CC-ApiBanking_Login-V1
Avaloq,Avaloq-hk-preprod,COG_Avaloq_Balance_Inquiry
Avaloq,Avaloq-hk-preprod,COG_Avaloq_Transaction_Inquiry
Avaloq,Avaloq-hk-preprod,COG_Avaloq_Cash_Settlement
Avaloq,Avaloq-hk-preprod,COG_Avaloq_Lien
OneLoyalty-GIFTWAY,OneLoyalty-VoucherWallet,CBG-CJ_CC-ApiBanking_Login-V1
OneLoyalty-GIFTWAY,OneLoyalty-VoucherWallet,Retail-OneLoyalty-VoucherWallet-V1
