App Name,API Product,Environments,API Proxy
Oauth-Token-TestAPI,Test-Product,ext-dev-1,Oauth-Token-TestAPI
BRSAPI,Remittance-v1-SIT,"ext-sit-edge-1,ext-sit-edge-2,ext-sit-edge-3,ext-sit-edge-4,ext-sit-edge-5,ext-sit-others-1,ext-sit-others-2,ext-sit-others-3",Remittance-BAPI-v1
BRSAPI,OAuth2-Token-v2-Dev,"ext-dev-others-3,ext-sit-edge-1,ext-sit-edge-2,ext-sit-edge-3,ext-sit-edge-4,ext-sit-edge-5",OAuth2-Token-API
BRSAPI,OAuth2-Token-v2-Dev,"ext-dev-others-3,ext-sit-edge-1,ext-sit-edge-2,ext-sit-edge-3,ext-sit-edge-4,ext-sit-edge-5",OAuth2-Token-API-V1
BRSAPI,OAuth2-Token-v2-Dev,"ext-dev-others-3,ext-sit-edge-1,ext-sit-edge-2,ext-sit-edge-3,ext-sit-edge-4,ext-sit-edge-5",OAuth2-Token-API
BRSAPI,OAuth2-Token-v2-Dev,"ext-dev-others-3,ext-sit-edge-1,ext-sit-edge-2,ext-sit-edge-3,ext-sit-edge-4,ext-sit-edge-5",OAuth2-Token-API-V1
NDBWEBSTG,PrepaidMobileReload-UAT,"ext-stg-edge-1,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",PrepaidMobileReloadScheduled-v1
NDBWEBSTG,PrepaidMobileReload-UAT,"ext-stg-edge-1,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",PrepaidMobileReloadScheduled-v2
NDBWEBSTG,PrepaidMobileReload-UAT,"ext-stg-edge-1,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",PrepaidMobileReloadScheduledRequest-v2
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",ApiBanking-DeviceRegistration-v1
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",ApiBanking-Login-v1
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",CasaAccounts-v1
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",ApiBanking-Login2FA-v2
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",ApiBanking-LoginFor2FA-v1
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",ApiBanking-ForgotPassword-v1
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",ApiBanking-CasaVerifications-v1
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",ApiBanking-CreditCardVerifications-v1
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",ApiBanking-Billers-v2
