App Name,API Product,Environments,API Proxy
CMS-ePayments-PCHC-SIT,CMS-ePayments-RetailCorporate-Merchant-Product-SIT,"int-sit-1,int-sit-2",Corporate-CMS_ePayments-Get_App_Attributes-V1
CMS-ePayments-PCHC-SIT,CMS-ePayments-RetailCorporate-Merchant-Product-SIT,"int-sit-1,int-sit-2",CMS-DataValidate-v1
CMS-ePayments-PCHC-SIT,CMS-ePayments-RetailCorporate-Merchant-Product-SIT,"int-sit-1,int-sit-2",TBG-CMSEpayment-Microsite-CMS_BillPaymentInquiry-V1
CMS-ePayments-PCHC-SIT,CMS-ePayments-RetailCorporate-Merchant-Product-SIT,"int-sit-1,int-sit-2",Retail-BRS_R-ApiBanking_Login-V1
CMS-ePayments-PCHC-SIT,CMS-ePayments-PCHC-retrievePaymentDetails-SIT,"int-dev-1,int-dev-4,int-sit-1,int-sit-2,int-sit-3,int-sit-4,int-sit-5,int-sit-6,int-sit-edge-1,int-sit-edge-2",CMS_ePayments_PCHC_retrievePaymentDetails
CMS-ePayments-PCHC-SIT,CMS-ePayments-PCHC-retrievePaymentDetails-SIT,"int-dev-1,int-dev-4,int-sit-1,int-sit-2,int-sit-3,int-sit-4,int-sit-5,int-sit-6,int-sit-edge-1,int-sit-edge-2",Retail-BRS_R-ApiBanking_Login-V1
PHQR-Keys,Merchant-Presented-QR-v1-UAT,int-uat-edge-3,Merchant-Presented-QR-v1
PHQR-Keys,Merchant-Presented-QR-v1-UAT,int-uat-edge-3,OAuth2-Token-API-V1
PHQR-Keys,OAuth2 Token-v2-UAT,"int-uat-1,int-uat-2,int-uat-3,int-uat-4,int-uat-5,int-uat-6,int-uat-edge-1,int-uat-edge-2,int-uat-edge-3",OAuth2-Token-API
PHQR-Keys,OAuth2 Token-v2-UAT,"int-uat-1,int-uat-2,int-uat-3,int-uat-4,int-uat-5,int-uat-6,int-uat-edge-1,int-uat-edge-2,int-uat-edge-3",OAuth2-Token-API-V1
PHQR-Keys,Merchant-Presented-QR-v1-UAT,int-uat-edge-3,Merchant-Presented-QR-v1
PHQR-Keys,Merchant-Presented-QR-v1-UAT,int-uat-edge-3,OAuth2-Token-API-V1
BDOPay2-STG,,,
NDBMOBSTG,,,
ATM-DCC-App,DCC-Product-DEV,int-dev-4,Euronet-DynamicCurrencyConversion-V1
ATM-DCC-App,DCC-Product-SIT,int-sit-4,Euronet-DynamicCurrencyConversion-V1
phqr_uat,Merchant-Presented-QR-v1-UAT,int-uat-edge-3,Merchant-Presented-QR-v1
phqr_uat,Merchant-Presented-QR-v1-UAT,int-uat-edge-3,OAuth2-Token-API-V1
TestApp,Business Operations - Account Reconciliation,"int-sit-1,int-sit-2,int-sit-3,int-sit-4,int-sit-5,int-sit-6",
APICOE-ALLSTARS,Vertexon-CCAccountInfo-SIT,"int-dev-1,int-dev-2,int-sit-2,int-sit-5,int-sit-edge-1,int-sit-edge-2",Retail-Vertexon-CCAccountInfo-V1
APICOE-ALLSTARS,Vertexon-CreditCardFacility-SIT,"int-dev-1,int-dev-2,int-dev-3,int-sit-1,int-sit-2,int-sit-3,int-sit-5",Enterprise-Vertexon-CreditCardFacility
APICOE-ALLSTARS,Vertexon-CreditCardFacility-SIT,"int-dev-1,int-dev-2,int-dev-3,int-sit-1,int-sit-2,int-sit-3,int-sit-5",ApiBanking-Login-v2
APICOE-ALLSTARS,Vertexon-CCRating-SIT,"int-dev-1,int-dev-2,int-dev-3,int-sit-4,int-sit-5,int-sit-6",Ent-Vertexon-CCRating-V1
