App Name,API Product,Environments,API Proxy
POCA,CCM-UNIFIED-v1,ext-prod-1,ITG-CCM-Phase_2-V1
POCA,ApiBanking-Login-v1,"ext-preprod-1,ext-prod-1",CBG-CJ_CC-ApiBanking_Login-V1
POCA,Vertexon-CreditCardInquiry-Product,"ext-prod-1,ext-prod-2,ext-prod-3,ext-prod-4",Credit-Card-Inquiry
POCA,Cadencie-GetMobileNumber-Product,"ext-prod-1,ext-prod-2,ext-prod-3,ext-prod-4",CBG-POCA-CRM_CreditCardAccountBalance-V3
OAuth2-Token-v2,OAuth2-Token-v2,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",OAuth2-Token-API-V1
OAuth2-Token-v2,OAuth2-Token-v2,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",OAuth2-Token-API
OAuth2-Token-v2,Remittance-v1,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",Remittance-BAPI-v1
Remittance,BRS-SAF-Extractor-Web-Service-Product,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",BRS-SAF-Extractor-Web-Service
PPAY,API-Banking-v1,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",Billers-v1
PPAY,API-Banking-v1,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",BillsPaymentTransactions-v1
PPAY,API-Banking-v1,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",SendSMS-v1
PPAY,API-Banking-v1,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",SendMoneyEmail-v1
PPAY,API-Banking-v1,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",Otp-v1
PPAY,API-Banking-v1,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",Logout-v1
PPAY,API-Banking-v1,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",FinTech-TokenAppDetails-Private
PPAY,API-Banking-v1,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",DigiFI-Login-v2
