App Name,API Product,Environments,API Proxy
CIAM,EvolutionNative-BAPI-PROD,"int-prod-1,int-prod-2,int-prod-3,int-prod-4",TBG-CMSEpayment-Microsite-ApiBanking_Login-V1
CIAM,EvolutionNative-BAPI-PROD,"int-prod-1,int-prod-2,int-prod-3,int-prod-4",Enterprise-EvoNative-PartyReferenceCustomerProfile-V1
GExchange-App,TBG-CNR-CMS-Microsite-BillsInquiry,int-prod-1,TBG-CMSEpayment-Microsite-CMS_BillPaymentInquiry-V1
GExchange-App,TBG-CNR-CMS-Microsite-BillsInquiry,int-prod-1,TBG-CMSEpayment-Microsite-ApiBanking_Login-V1
Evolution-ATMQRBiometrics,BDO-Evolution-Product,int-prod-1,BBG-Evolution-BDO_Evolution-V1
Evolution-ATMQRBiometrics,BDO-Evolution-Product,int-prod-1,Evolution-hoststatus
TOP,ApiBanking-Login-CIAM-v1,"int-prod-1,int-prod-2,int-prod-3,int-prod-4",TBG-CMSEpayment-Microsite-ApiBanking_Login-V1
TOP,ApiBanking-Login-CIAM-v1,"int-prod-1,int-prod-2,int-prod-3,int-prod-4",ApiBanking-Login2FA-v1
TOP,ApiBanking-Login-CIAM-v1,"int-prod-1,int-prod-2,int-prod-3,int-prod-4",ApiBanking-UserAttributes-v1
TOP,ApiBanking-Login-CIAM-v1,"int-prod-1,int-prod-2,int-prod-3,int-prod-4",ApiBanking-ForgotPassword-v1
CMS-ePayments-UST-App,CMS-ePayments-Merchant-Product,int-prod-1,TBG-CMSEpayment-Microsite-ApiBanking_Authorize-V1
CMS-ePayments-UST-App,CMS-ePayments-Merchant-Product,int-prod-1,TBG-CMSEpayment-Microsite-CMS_BillPaymentInquiry-V1
CMS-ePayments-UST-App,CMS-ePayments-Merchant-Product,int-prod-1,CMS-DataValidate-v1
CMS-ePayments-UST-App,CMS-ePayments-Merchant-Product,int-prod-1,TBG-CMSEpayment-Microsite-ApiBanking_Login-V1
Evolution-BDOSecurities,BDO-Evolution-Product,int-prod-1,BBG-Evolution-BDO_Evolution-V1
Evolution-BDOSecurities,BDO-Evolution-Product,int-prod-1,Evolution-hoststatus
